Winner,Result,Margin,BR,Match,Ground,Start Date
India,won,7 wickets,4,Australia v India,Melbourne,18-Jan-19
India,won,6 wickets,4,Australia v India,Adelaide,15-Jan-19
Australia,won,34 runs,,Australia v India,Sydney,12-Jan-19
